#
# Engine name: 
# Fri Jan 9 13:12:09 2026
#
# Lc= 227.48122 mm	 Rc=  95.82054 mm
# R1=  42.79911 mm	 R2= 229.72193 mm
# bc=  30.00000   	 Rt=  28.53274 mm
# Le= 177.87398 mm	 Re=  74.40579 mm
# Rn=  10.89951 mm
# c1=  21.83236   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
  100.93344	   87.00732
  101.33880	   86.89128
  101.74415	   86.77443
  102.14951	   86.65678
  102.55486	   86.53832
  102.96022	   86.41905
  103.36558	   86.29896
  103.77093	   86.17807
  104.17629	   86.05636
  104.58164	   85.93384
  104.98700	   85.81050
  105.39235	   85.68635
  105.79771	   85.56137
  106.20306	   85.43558
  106.60842	   85.30896
  107.01377	   85.18152
  107.41913	   85.05326
  107.82448	   84.92417
  108.22984	   84.79425
  108.63519	   84.66350
  109.04055	   84.53193
  109.44590	   84.39952
  109.85126	   84.26627
  110.25661	   84.13220
  110.66197	   83.99728
  111.06732	   83.86153
  111.47268	   83.72494
  111.87803	   83.58750
  112.28339	   83.44923
  112.68874	   83.31011
  113.09410	   83.17014
  113.49945	   83.02932
  113.90481	   82.88766
  114.31017	   82.74514
  114.71552	   82.60178
  115.12088	   82.45755
  115.52623	   82.31247
  115.93159	   82.16654
  116.33694	   82.01974
  116.74230	   81.87208
  117.14765	   81.72356
  117.55301	   81.57418
  117.95836	   81.42393
  118.36372	   81.27280
  118.76907	   81.12081
  119.17443	   80.96795
  119.57978	   80.81421
  119.98514	   80.65960
  120.39049	   80.50411
  120.79585	   80.34774
  121.20120	   80.19048
  121.60656	   80.03235
  122.01191	   79.87332
  122.41727	   79.71341
  122.82262	   79.55261
  123.22798	   79.39092
  123.63333	   79.22834
  124.03869	   79.06486
  124.44405	   78.90048
  124.84940	   78.73520
  125.25476	   78.56902
  125.66011	   78.40194
  126.06547	   78.23395
  126.47082	   78.06505
  126.87618	   77.89524
  127.28153	   77.72452
  127.68689	   77.55289
  128.09224	   77.38033
  128.49760	   77.20686
  128.90295	   77.03247
  129.30831	   76.85715
  129.71366	   76.68090
  130.11902	   76.50373
  130.52437	   76.32563
  130.92973	   76.14659
  131.33508	   75.96662
  131.74044	   75.78571
  132.14579	   75.60385
  132.55115	   75.42106
  132.95650	   75.23732
  133.36186	   75.05263
  133.76721	   74.86699
  134.17257	   74.68040
  134.57793	   74.49286
  134.98328	   74.30435
  135.38864	   74.11488
  135.79399	   73.92446
  136.19935	   73.73306
  136.60470	   73.54070
  137.01006	   73.34736
  137.41541	   73.15305
  137.82077	   72.95777
  138.22612	   72.76150
  138.63148	   72.56425
  139.03683	   72.36602
  139.44219	   72.16680
  139.84754	   71.96659
  140.25290	   71.76538
  140.65825	   71.56318
  141.06361	   71.35998
  141.46896	   71.15577
  141.87432	   70.95056
  142.27967	   70.74434
  142.68503	   70.53711
  143.09038	   70.32886
  143.49574	   70.11960
  143.90109	   69.90931
  144.30645	   69.69800
  144.71181	   69.48567
  145.11716	   69.27230
  145.52252	   69.05790
  145.92787	   68.84246
  146.33323	   68.62598
  146.73858	   68.40846
  147.14394	   68.18989
  147.54929	   67.97027
  147.95465	   67.74959
  148.36000	   67.52786
  148.76536	   67.30507
  149.17071	   67.08121
  149.57607	   66.85629
  149.98142	   66.63029
  150.38678	   66.40322
  150.79213	   66.17507
  151.19749	   65.94583
  151.60284	   65.71551
  152.00820	   65.48410
  152.41355	   65.25160
  152.81891	   65.01800
  153.22426	   64.78397
  153.62962	   64.54994
  154.03497	   64.31590
  154.44033	   64.08187
  154.84569	   63.84784
  155.25104	   63.61381
  155.65640	   63.37978
  156.06175	   63.14574
  156.46711	   62.91171
  156.87246	   62.67768
  157.27782	   62.44365
  157.68317	   62.20962
  158.08853	   61.97558
  158.49388	   61.74155
  158.89924	   61.50752
  159.30459	   61.27349
  159.70995	   61.03946
  160.11530	   60.80542
  160.52066	   60.57139
  160.92601	   60.33736
  161.33137	   60.10333
  161.73672	   59.86930
  162.14208	   59.63526
  162.54743	   59.40123
  162.95279	   59.16720
  163.35814	   58.93317
  163.76350	   58.69914
  164.16885	   58.46511
  164.57421	   58.23107
  164.97956	   57.99704
  165.38492	   57.76301
  165.79028	   57.52898
  166.19563	   57.29495
  166.60099	   57.06091
  167.00634	   56.82688
  167.41170	   56.59285
  167.81705	   56.35882
  168.22241	   56.12479
  168.62776	   55.89075
  169.03312	   55.65672
  169.43847	   55.42269
  169.84383	   55.18866
  170.24918	   54.95463
  170.65454	   54.72059
  171.05989	   54.48656
  171.46525	   54.25253
  171.87060	   54.01850
  172.27596	   53.78447
  172.68131	   53.55043
  173.08667	   53.31640
  173.49202	   53.08237
  173.89738	   52.84834
  174.30273	   52.61431
  174.70809	   52.38027
  175.11344	   52.14624
  175.51880	   51.91221
  175.92416	   51.67818
  176.32951	   51.44415
  176.73487	   51.21012
  177.14022	   50.97608
  177.54558	   50.74205
  177.95093	   50.50802
  178.35629	   50.27399
  178.76164	   50.03996
  179.16700	   49.80592
  179.57235	   49.57189
  179.97771	   49.33786
  180.38306	   49.10383
  180.78842	   48.86980
  181.19377	   48.63576
  181.59913	   48.40173
  182.00448	   48.16770
  182.40984	   47.93367
  182.81519	   47.69964
  183.22055	   47.46560
  183.62590	   47.23157
  184.03126	   46.99754
  184.43661	   46.76351
  184.84197	   46.52948
  185.24732	   46.29544
  185.65268	   46.06141
  186.05804	   45.82738
  186.46339	   45.59335
  186.86875	   45.35932
  187.27410	   45.12529
  187.67946	   44.89125
  188.08481	   44.65722
  188.49017	   44.42319
  188.89552	   44.18916
  189.30088	   43.95513
  189.70623	   43.72109
  190.11159	   43.48706
  190.51694	   43.25303
  190.92230	   43.01900
  191.32765	   42.78497
  191.73301	   42.55093
  192.13836	   42.31690
  192.54372	   42.08287
  192.94907	   41.84884
  193.35443	   41.61481
  193.75978	   41.38077
  194.16514	   41.14674
  194.57049	   40.91271
  194.97585	   40.67868
  195.38120	   40.44465
  195.78656	   40.21061
  196.19192	   39.97658
  196.59727	   39.74255
  197.00263	   39.50852
  197.40798	   39.27449
  197.81334	   39.04045
  198.21869	   38.80642
  198.62405	   38.57239
  199.02940	   38.33836
  199.43476	   38.10433
  199.84011	   37.87030
  200.24547	   37.63626
  200.65082	   37.40223
  201.05618	   37.16820
  201.46153	   36.93417
  201.86689	   36.70014
  202.27224	   36.46610
  202.67760	   36.23207
  203.08295	   35.99804
  203.48831	   35.76401
  203.89366	   35.52998
  204.29902	   35.29594
  204.70437	   35.06191
  205.10973	   34.82788
  205.51508	   34.59385
  205.92044	   34.35982
  206.32579	   34.12685
  206.73115	   33.89926
  207.13651	   33.67742
  207.54186	   33.46120
  207.94722	   33.25054
  208.35257	   33.04532
  208.75793	   32.84546
  209.16328	   32.65089
  209.56864	   32.46151
  209.97399	   32.27726
  210.37935	   32.09807
  210.78470	   31.92385
  211.19006	   31.75456
  211.59541	   31.59012
  212.00077	   31.43048
  212.40612	   31.27557
  212.81148	   31.12535
  213.21683	   30.97976
  213.62219	   30.83875
  214.02754	   30.70227
  214.43290	   30.57029
  214.83825	   30.44274
  215.24361	   30.31960
  215.64896	   30.20082
  216.05432	   30.08637
  216.45967	   29.97621
  216.86503	   29.87030
  217.27039	   29.76861
  217.67574	   29.67112
  218.08110	   29.57779
  218.48645	   29.48860
  218.89181	   29.40351
  219.29716	   29.32251
  219.70252	   29.24556
  220.10787	   29.17266
  220.51323	   29.10377
  220.91858	   29.03888
  221.32394	   28.97796
  221.72929	   28.92101
  222.13465	   28.86801
  222.54000	   28.81893
  222.94536	   28.77378
  223.35071	   28.73252
  223.75607	   28.69516
  224.16142	   28.66169
  224.56678	   28.63209
  224.97213	   28.60635
  225.37749	   28.58448
  225.78284	   28.56645
  226.18820	   28.55228
  226.59355	   28.54195
  226.99891	   28.53546
  227.40427	   28.53281
  227.48122	   28.53274
  227.88657	   28.54028
  228.29193	   28.56293
  228.69728	   28.60079
  229.10264	   28.65402
  229.50799	   28.72284
  229.91335	   28.80756
  230.31870	   28.90856
  230.72406	   29.02633
  231.12941	   29.16142
  231.53477	   29.31454
  231.94012	   29.47662
  232.34548	   29.63869
  232.75083	   29.80014
  233.15619	   29.96156
  233.56155	   30.12238
  233.96690	   30.28316
  234.37226	   30.44336
  234.77761	   30.60349
  235.18297	   30.76307
  235.58832	   30.92257
  235.99368	   31.08152
  236.39903	   31.24038
  236.80439	   31.39871
  237.20974	   31.55694
  237.61510	   31.71465
  238.02045	   31.87224
  238.42581	   32.02933
  238.83116	   32.18630
  239.23652	   32.34277
  239.64187	   32.49911
  240.04723	   32.65496
  240.45258	   32.81068
  240.85794	   32.96591
  241.26329	   33.12101
  241.66865	   33.27563
  242.07400	   33.43011
  242.47936	   33.58411
  242.88471	   33.73797
  243.29007	   33.89136
  243.69543	   34.04461
  244.10078	   34.19739
  244.50614	   34.35002
  244.91149	   34.50219
  245.31685	   34.65421
  245.72220	   34.80578
  246.12756	   34.95719
  246.53291	   35.10814
  246.93827	   35.25895
  247.34362	   35.40929
  247.74898	   35.55950
  248.15433	   35.70924
  248.55969	   35.85884
  248.96504	   36.00797
  249.37040	   36.15698
  249.77575	   36.30551
  250.18111	   36.45392
  250.58646	   36.60184
  250.99182	   36.74966
  251.39717	   36.89698
  251.80253	   37.04420
  252.20788	   37.19093
  252.61324	   37.33756
  253.01859	   37.48368
